State_Name,Crime_Index,Effective_Tax_Rate(%),avg_unemp_2022_%,Avg_Pop_Growth_%,avg_income,total_houses,avg_price,avg_ppsf,,Price_to_Income(how many yearly incomes for an average house.),Price_per_Sqft_to_Income(scaled properly).,Houses_per_Income(supply relative to income).
Alabama,71.2707182,0.41,2.575,0.61,62771.24144,21408,355326.046,161.1590383,,5.660650288,0.002567402437,0.3410478988
Alaska,31.0497238,0.94,4.025,0.24,108911.6952,969,495160.5046,239.9138435,,4.546440156,0.002202829026,0.008897116126
Arizona,64.4198895,0.41,3.825,1.34,79373.54457,57613,547876.349,264.6925502,,6.902505765,0.00333477044,0.7258463801
Arkansas,47.0718232,0.6,3.3,0.61,52381.60588,12746,332574.9202,151.9614185,,6.349078357,0.002901045433,0.2433296915
California,57.3480663,0.69,4.183333333,-0.06,100581.7329,197528,1074474.863,545.9619054,,10.6826044,0.005428042344,1.963855605
Colorado,58.4530387,0.5,3.016666667,0.72,99512.92205,25237,904885.4004,366.3610374,,9.093144707,0.003681542355,0.2536052553
Connecticut,96.0220994,1.41,4.158333333,0.66,120557.3493,12202,710145.9916,269.318504,,5.890524267,0.002233945136,0.1012132406
Delaware,71.160221,0.4,4.491666667,1.48,87086.03409,7454,431197.8695,206.307795,,4.951400922,0.002369011255,0.0855935177
District of Columbia,0,0.71,4.616666667,1.15,93759.5938,6435,886523.6085,553.399501,,9.455284229,0.005902324003,0.06863297652
Florida,81.5469613,0.79,2.9,2,75203.75677,188246,638699.4599,308.0839956,,8.4929196,0.004096656987,2.503146227
Georgia,75.0276243,0.92,3.033333333,1.02,71669.21149,55400,418442.2607,182.2111233,,5.838521898,0.002542390512,0.7729958074
Hawaii,86.961326,0.29,3.475,-0.09,95679.36232,5470,1372428.165,814.0547661,,14.34403545,0.008508154176,0.05717011346
Idaho,85.5248619,0.63,2.675,2,81455.55034,12566,683369.4689,307.5388674,,8.389477035,0.003775542196,0.1542681861
Illinois,79.1160221,2.29,4.541666667,-0.17,86771.18519,64789,362410.2045,180.7927348,,4.176619274,0.002083557282,0.7466649195
Indiana,76.4640884,0.87,2.991666667,0.49,83273.6094,13259,330508.0861,146.0721443,,3.968941522,0.001754122889,0.1592221124
Iowa,84.198895,1.29,2.741666667,0.39,80540.4163,18626,258490.7965,158.2039605,,3.209454438,0.001964280393,0.2312627729
Kansas,62.5414365,1.33,2.666666667,0.28,82433.13648,12137,289421.43,129.1903582,,3.510984082,0.001567213911,0.1472344802
Kentucky,87.5138122,0.83,3.908333333,0.44,64374.3501,18112,301827.333,148.0307601,,4.688627264,0.002299530169,0.2813542967
Louisiana,53.5911602,0.55,3.625,-0.29,59831.22505,17194,324455.0645,149.8204111,,5.422838396,0.002504050536,0.2873750284
Maine,100,1.2,2.941666667,0.73,66040.71338,2525,502229.2174,262.492618,,7.604842403,0.003974709002,0.03823399038
Maryland,64.640884,1.09,3.233333333,0.34,113988.2321,40983,474147.4036,222.2784817,,4.159617137,0.001950012538,0.3595371141
Massachusetts,76.2430939,1.12,3.766666667,0.5,118008.0388,35723,746130.4907,383.9117631,,6.322709015,0.003253267888,0.3027166654
Michigan,63.0939227,1.54,4.208333333,0.17,70040.0545,27412,326908.6088,167.353826,,4.667452234,0.002389401711,0.3913760518
