State_Name,avg_income
New Jersey,125685.82995495496
Connecticut,120557.34929577465
Massachusetts,118008.03880597015
Maryland,113988.23208191126
Wyoming,113605.57333333333
Utah,109378.08045977012
Alaska,108911.69523809524
Rhode Island,105751.98165137615
Virginia,103971.86369426752
New Hampshire,101146.00763358778
California,100581.73292682927
New York,100544.02685185186
Washington,99918.09156976744
Colorado,99512.92205323195
Hawaii,95679.36231884058
District of Columbia,93759.59375
Nebraska,90510.68727272727
Nevada,90228.09811320755
Minnesota,88461.72542901715
Delaware,87086.03409090909
Illinois,86771.18518518518
Texas,85856.51304347826
Oregon,85136.76485788113
North Dakota,83476.15126050421
Indiana,83273.609375
Pennsylvania,83214.73152542373
Kansas,82433.13648293963
New Mexico,82390.7625
Idaho,81455.55033557047
South Dakota,81221.0
Vermont,81112.72289156627
Iowa,80540.41629955947
Wisconsin,79387.05934718101
Arizona,79373.54457050243
Florida,75203.75677302829
Ohio,74885.29873980726
Georgia,71669.21149144255
Missouri,70934.11
North Carolina,70692.51147540983
Michigan,70040.0545144804
Montana,68587.66891891892
South Carolina,68207.05664488017
Maine,66040.71337579619
Tennessee,65054.75081967213
Kentucky,64374.350100603624
West Virginia,63566.334677419356
Alabama,62771.24144486692
Oklahoma,61972.666666666664
Louisiana,59831.225048923676
Mississippi,57423.01246105919
Arkansas,52381.60588235294
Puerto Rico,22048.255263157895
