state,avg_unemp_2022
New York city,5.608333333333333
Nevada,5.358333333333333
Los Angeles County,4.866666666666666
District of Columbia,4.616666666666666
Illinois,4.541666666666667
Delaware,4.491666666666666
Pennsylvania,4.3500000000000005
New York,4.25
Michigan,4.208333333333333
California,4.183333333333333
Washington,4.175
Connecticut,4.158333333333333
Oregon,4.133333333333334
Ohio,4.0249999999999995
New Mexico,4.0249999999999995
Alaska,4.0249999999999995
West Virginia,3.9166666666666665
Mississippi,3.908333333333333
Kentucky,3.908333333333333
Texas,3.875
Arizona,3.8249999999999997
Massachusetts,3.766666666666667
New Jersey,3.6666666666666665
North Carolina,3.641666666666667
Louisiana,3.625
Wyoming,3.5666666666666664
Hawaii,3.475
Tennessee,3.3666666666666667
Arkansas,3.3000000000000003
South Carolina,3.2583333333333333
Maryland,3.233333333333334
Rhode Island,3.216666666666667
Georgia,3.033333333333333
Oklahoma,3.025
Colorado,3.016666666666667
Indiana,2.9916666666666667
Maine,2.941666666666667
Wisconsin,2.9333333333333336
Florida,2.9
Virginia,2.8333333333333335
Iowa,2.7416666666666667
Idaho,2.6750000000000003
Minnesota,2.6666666666666665
Kansas,2.6666666666666665
Montana,2.6333333333333333
Vermont,2.625
Alabama,2.575
New Hampshire,2.5
Missouri,2.4916666666666667
Nebraska,2.341666666666667
Utah,2.3000000000000003
North Dakota,2.0833333333333335
South Dakota,2.066666666666667
