state,zip_code,n_listings,avg_ppsf_zip
New York,10458.0,44,8451.793831354245
California,92119.0,190,3137.2341826659467
California,93013.0,32,2928.5967789222805
New York,11962.0,30,2586.8515085045465
Idaho,83549.0,16,2583.8906024107196
California,94027.0,52,2572.591473428175
New York,10001.0,191,2360.4898904724932
Florida,33109.0,40,2289.6440909255557
New York,10014.0,215,2285.6775448379035
New York,10013.0,383,2278.673217628974
New York,10019.0,392,2207.6673172463957
New York,10023.0,481,2172.5628996014507
California,90265.0,262,2148.983900538918
California,92662.0,22,2141.165735298514
New York,10007.0,139,2140.198908211653
Massachusetts,2199.0,15,2122.8289980021286
New York,10012.0,149,2114.456983763112
New York,10075.0,198,2068.938936654219
California,92661.0,47,2052.3692579556646
California,90210.0,299,2041.847825638189
New York,10069.0,140,1999.0656089875577
Hawaii,96779.0,18,1988.2000868044427
New York,10011.0,497,1958.9279988372775
New York,11930.0,46,1947.961070111328
Colorado,81611.0,134,1944.0272820319256
Florida,33480.0,308,1936.777383873
New York,10028.0,264,1921.3526113799683
Colorado,81657.0,138,1921.048730557383
New York,10010.0,248,1900.0665439642664
California,92625.0,163,1848.6619799790099
New York,10002.0,275,1835.948464386814
California,93108.0,35,1833.7228790012766
California,93921.0,43,1822.6053757067614
Massachusetts,2554.0,69,1807.549623292734
New York,10036.0,170,1794.7808249160662
New York,10006.0,81,1768.299577927265
New York,10018.0,26,1768.0547406289531
California,94301.0,120,1752.9157361120767
New York,10024.0,257,1746.0408007484027
Florida,34216.0,59,1738.6843062552484
New York,10003.0,242,1730.032498710416
New York,10016.0,525,1707.027614817994
California,92651.0,250,1705.7132808968795
Colorado,81435.0,94,1695.880963051265
Washington,98039.0,27,1686.9919176130827
California,94024.0,101,1684.2772818935855
Hawaii,96754.0,22,1678.788903693501
California,93953.0,62,1671.4425550707213
New York,10009.0,79,1656.8936585564957
New York,10038.0,165,1639.1362533865215
